Content,Dates,Bold,Italic,Short,AllCaps,Quoted
 PASSENGERS,01/01,0,0,0,1,0
 The,01/02,0,0,0,0,0
 THE THICK OF IT (5),01/03,0,0,0,1,0
 CARNAL,01/04,0,0,0,1,0
 THE THICK OF IT (2),01/05,0,0,0,1,0
 DARLING,01/13,0,0,0,1,0
 DOG,01/14,0,0,0,1,0
 THE,01/15,0,0,0,1,0
 THE,01/18,0,0,0,1,0
 VANITY FAIR CONFIDENTIAL,01/25,0,0,0,1,0
 THE,01/27,0,0,0,1,0
 MOUCHETTE,01/28,0,0,0,1,0
 Bresson,01/29,0,0,0,0,0
 The,01/30,0,0,0,0,0
 THE BEST OF AUTOPSY,02/01,0,0,0,1,0
 I,02/02,0,0,0,1,0
 BECOMING,02/03,0,0,0,1,0
 SPLIT,02/04,0,0,0,1,0
 THE,02/05,0,0,0,1,0
 VANITY FAIR CONFIDENTIAL,02/06,0,0,0,1,0
 THE TRAP (Part 1),02/07,0,0,0,0,0
 FIVE,02/08,0,0,0,1,0
 BILLIONS,02/10,0,0,0,1,0
 DATELINE,02/10,0,0,0,1,0
 THE TRAP (Parts 2 &amp; 3),02/11,0,0,0,0,0
 THE IMMORTAL STORY,02/11,0,0,0,1,0
 KING &amp; COUNTRY,02/11,0,0,0,0,0
 FIFTY SHADES DARKER,02/11,0,0,0,1,0
 DATELINE: SATURDAY,02/11,0,0,0,1,0
 “Jitney”,02/12,0,0,0,0,1
 August Wilson,02/12,0,0,0,0,0
 GIRLS,02/12,0,0,0,1,0
 VANITY FAIR CONFIDENTIAL,02/13,0,0,0,1,0
 THE,02/14,0,0,0,1,0
 THE THICK OF IT,02/15,0,0,0,1,0
 LIFE,02/16,0,0,0,1,0
 HYPERNATIONALIZATION,02/17,0,0,0,1,0
 MON,02/18,0,0,0,1,0
 48 HRS,02/19,0,0,0,1,0
 GIRLS,02/19,0,0,0,1,0
 MURIEL,02/19,0,0,0,1,0
 OR THE TIME OF RETURN,02/19,0,0,0,1,0
 VANITY FAIR CONFIDENTIAL,02/20,0,0,0,1,0
 THE THICK OF,02/20,0,0,0,1,0
 INTERIORS,02/21,0,0,0,1,0
 NIGHT,02/22,0,0,0,1,0
 DATELINE,02/24,0,0,0,1,0
 DICKS,02/25,0,0,1,1,0
 GET,02/26,0,0,0,1,0
 VANITY FAIR CONFIDENTIAL,02/27,0,0,0,1,0
 BILLIONS,02/27,0,0,0,1,0
 LOGAN,03/04,0,0,0,1,0
 Affections,03/09,0,0,0,0,0
 Outline,03/10,0,0,0,0,0
 GIRLS,03/11,0,0,0,1,0
 DATELINE,03/11,0,0,0,1,0
 THE LOVE WITCH,03/11,0,0,0,1,0
 LOGAN LUCKY,03/11,0,0,0,1,0
 LOGAN,03/12,0,0,0,1,0
 THE AMERICANS (2),03/14,0,0,0,1,0
 LOGAN,03/15,0,0,0,1,0
 GOLOVKIN VS JACOBS,03/18,0,0,0,1,0
 “The Present”,03/19,0,0,0,0,1
 Anton Chekov/Andrew,03/19,0,0,0,0,0
 THE CROWN (2),03/20,0,0,0,1,0
 THE AMERICANS,03/21,0,0,0,1,0
 DAVE CHAPPELLE: THE AGE OF SPIN,03/22,0,0,0,1,0
 GIRLS,03/26,0,0,0,1,0
 BILLIONS,03/26,0,0,0,1,0
 RAIDERS,03/27,0,0,0,1,0
 DATELINE,03/31,0,0,0,1,0
 A,04/01,0,0,0,1,0
 GIRLS,04/02,0,0,0,1,0
 LOUIS C.K. 2017,04/04,0,0,0,1,0
 THE AMERCIANS (2),04/04,0,0,0,1,0
 MIKEY,04/05,0,0,0,1,0
 PREVENGE,04/06,0,0,0,1,0
 TRAINSPOTTING,04/07,0,0,0,1,0
 THE,04/08,0,0,0,1,0
 BILLIONS,04/10,0,0,0,1,0
 BETTER CALL SAUL,04/10,0,0,0,1,0
 THE AMERICANS,04/11,0,0,0,1,0
 REPULSION,04/11,0,0,0,1,0
 RYAN’S,04/13,0,0,0,1,0
 DATELINE,04/14,0,0,0,1,0
 On,04/15,0,0,0,0,0
 GIRLS,04/16,0,0,0,1,0
 VEEP,04/16,0,0,0,1,0
 THE AMERICANS,04/17,0,0,0,1,0
 KILLING RICHARD GLOSSIP,04/17,0,0,0,1,0
 HIGH,04/18,0,0,0,1,0
 ONE,04/20,0,0,0,1,0
 I,04/21,0,0,0,1,0
 …BUT,04/22,0,0,0,1,0
 BETTER CALL SAUL,04/25,0,0,0,1,0
 THE AMERICANS,04/25,0,0,0,1,0
 LOGAN,04/26,0,0,0,1,0
 THE,04/27,0,0,0,1,0
 STANLEY KUBRICK INTERVIEW WITH JEREMY,04/29,0,0,0,1,0
 OCEAN’S,04/30,0,0,0,1,0
 E! NEWS LIVE AT THE RED CARPET MET,05/01,0,0,0,1,0
 THE AMERICANS,05/02,0,0,0,1,0
 WHITE HORSE (6),05/05,0,0,0,1,0
 SWIMMING TO CAMBODIA,05/05,0,0,0,1,0
 DON’T,05/06,0,0,0,1,0
 All,05/07,0,0,0,0,0
 SILICON VALLEY,05/08,0,0,0,1,0
 BILLIONS,05/08,0,0,0,1,0
 BETTER CALL,05/08,0,0,0,1,0
 THE AMERICANS,05/09,0,0,0,1,0
 BASKETS (2),05/11,0,0,0,1,0
 THE SAND PEBBLES,05/11,0,0,0,1,0
 THE,05/12,0,0,0,1,0
 ALL,05/13,0,0,0,1,0
 Homesick,05/14,0,0,0,0,0
 BETTER CALL SAUL,05/15,0,0,0,1,0
 THE AMERICANS,05/16,0,0,0,1,0
 I,05/17,0,0,0,1,0
 MOMMY DEAD AND DEAREST,05/18,0,0,0,1,0
 THE KEEPERS (2),05/19,0,0,0,1,0
 THE KEEPERS (5),05/20,0,0,0,1,0
 ALIEN:,05/21,0,0,0,1,0
 Moonglow,05/22,0,0,0,0,0
 THE AMERICANS,05/23,0,0,0,1,0
 SHEITAN,05/23,0,0,0,1,0
 SUNSET,05/26,0,0,0,1,0
 Men,05/29,0,0,0,0,0
 THE AMERICANS,05/30,0,0,0,1,0
 THE,05/31,0,0,0,1,0
 Begin principal photography on UNSANE,06/01,0,0,0,0,0
 A,06/03,0,0,0,1,0
 SILICON VALLEY,06/04,0,0,0,1,0
 TWIN PEAKS,06/04,0,0,0,1,0
 BETTER CALL SAUL,06/10,0,0,0,1,0
 TWIN PEAKS,06/11,0,0,0,1,0
 SILICON VALLEY,06/11,0,0,0,1,0
 UNSANE,06/15,0,0,0,1,0
 UNSANE,06/16,0,0,0,1,0
 RISK,06/17,0,0,0,1,0
 SILICON VALLEY,06/18,0,0,0,1,0
 VEEP,06/18,0,0,0,1,0
 TWIN PEAKS,06/18,0,0,0,1,0
 ATLANTA,06/10,0,0,0,1,0
 BARRY LYNDON,06/10,0,0,0,1,0
 Masters,06/20,0,0,0,0,0
 SEXY,06/21,0,0,0,1,0
 THE,06/22,0,0,0,1,0
 Loving,06/23,0,0,0,0,0
 Henry Green,06/23,0,0,0,0,0
 GATTACA,06/23,0,0,0,1,0
 How,06/24,0,0,0,0,0
 TWIN PEAKS,06/25,0,0,0,1,0
 SILICON VALLEY,06/25,0,0,0,1,0
 VEEP,06/25,0,0,0,1,0
 TWIN PEAKS (episode 8 again—wow!),06/26,0,0,0,0,0
 THE,06/27,0,0,0,1,0
 T2,06/28,0,0,0,1,0
 OCEAN’S,07/07,0,0,0,1,0
 Home,07/08,0,0,0,0,0
 Who,07/09,0,0,0,0,0
 DR.,07/10,0,0,0,1,0
 A,07/11,0,0,0,1,0
 SONG,07/12,0,0,0,1,0
 ROAR: THE MOST DANGEROUS MOVIE EVER,07/14,0,0,0,1,0
 LURED,07/15,0,0,0,1,0
 TWIN PEAKS,01/17,0,0,0,1,0
 BULLITT,07/21,0,0,0,1,0
 THE,07/22,0,0,0,1,0
 TWIN PEAKS,07/24,0,0,0,1,0
 VICE: A WORLD IN DISARRAY,07/25,0,0,0,1,0
 L’ECLISSE,07/26,0,0,0,1,0
 O.G.,07/29,0,0,0,1,0
 Golden,07/31,0,0,0,0,0
 THEY,08/01,0,0,0,1,0
 IN,08/03,0,0,0,1,0
 UNSANE,08/04,0,0,0,1,0
 ICARUS,08/05,0,0,0,1,0
