Content,Dates,Bold,Italic,Short,AllCaps,Quoted
 DUNKIRK,08/06,0,0,0,1,0
 PERFECT,08/07,0,0,0,1,0
 THE,08/08,0,0,0,1,0
 FUCKKKYOUUU,08/11,0,0,1,1,0
 GLOW (2),08/12,0,0,0,1,0
 W1A,08/12,0,0,0,1,0
 48 HRS MYSTERY,08/12,0,0,0,1,0
 THE KILLING (’56),08/12,0,0,0,1,0
 GOOD,08/13,0,0,0,1,0
 I,08/15,0,0,0,1,0
 TWIN PEAKS,08/16,0,0,0,1,0
 TWIN PEAKS,08/17,0,0,0,1,0
 The,08/19,0,0,0,0,0
 The,08/23,0,0,0,0,0
 Conversations,08/24,0,0,0,0,0
 BEATRIZ,08/26,0,0,0,1,0
 Richard,08/28,0,0,0,0,0
 Runnin’,08/29,0,0,0,0,0
 mother!,08/30,0,0,0,0,0
 TWIN PEAKS,09/02,0,0,0,1,0
 The GFE Novelization,09/02,0,0,0,0,0
 Allison Leotta,09/02,0,0,0,0,0
 W1A (2),09/02,0,0,0,1,0
 DELIVERANCE,09/02,0,0,0,1,0
 Evolving,09/04,0,0,0,0,0
 ALL THE PRESIDENT’S MEN REVISITED,09/05,0,0,0,1,0
 THE THICK OF IT,09/07,0,0,0,1,0
 THE THICK OF IT,09/08,0,0,0,1,0
 THE THICK OF IT,09/10,0,0,0,1,0
 “By The Way,09/11,0,0,0,0,0
 Meet Vera Stark”,09/11,0,0,0,0,0
 Lynn,09/11,0,0,0,0,0
 APPLE SPECIAL EVENT (STREAMED),09/12,0,0,0,1,0
 THE,09/12,0,0,0,1,0
 DATELINE,09/15,0,0,0,1,0
 TWIN PEAKS,09/16,0,0,0,1,0
 GOLOVKIN VS ALVAREZ,09/16,0,0,0,1,0
 Ties,09/16,0,0,0,0,0
 Domenico Starnone,09/16,0,0,0,0,0
 TWIN PEAKS,09/17,0,0,0,1,0
 THE 69TH EMMY AWARDS,09/17,0,0,0,1,0
 HOUSE,09/18,0,0,0,1,0
 THE VIETNAM WAR,09/19,0,0,0,1,0
 Fantasyland,09/21,0,0,0,0,0
 TRANSPARENT (2),09/22,0,0,0,1,0
 DATELINE,09/22,0,0,0,1,0
 TRANSPARENT (6),09/23,0,0,0,1,0
 THE VIETNAM WAR,09/23,0,0,0,1,0
 THE VIETNAM WAR (2),09/24,0,0,0,1,0
 The,09/26,0,0,0,0,0
 Six,09/29,0,0,0,0,0
 Transit,09/30,0,0,0,0,0
 Aftermath,10/01,0,0,0,0,0
 LONG,10/04,0,0,0,1,0
 SPIELBERG,10/07,0,0,0,1,0
 CURB YOUR ENTHUSIASM,10/08,0,0,0,1,0
 W1A (2),10/13,0,0,0,1,0
 DATELINE,10/13,0,0,0,1,0
 We Were Eight Years in Power,10/13,0,0,0,0,0
 Ta-Nehisi Coates,10/13,0,0,0,0,0
 W1A (2),10/15,0,0,0,1,0
 CURB YOUR ENTHUSIASM,10/15,0,0,0,1,0
 DAVE,10/15,0,0,0,1,0
 W1A,10/17,0,0,0,1,0
 OCEAN’S EIGHT,10/17,0,0,0,1,0
 OCEAN’S,10/18,0,0,0,1,0
 OCEAN’S,10/19,0,0,0,1,0
 DATELINE,10/20,0,0,0,1,0
 48 HRS,10/21,0,0,0,1,0
 MAD MAX: FURY ROAD,10/21,0,0,0,1,0
 HIS GIRL,10/21,0,0,0,1,0
 IZUMI,10/22,0,0,0,1,0
 W1A,10/23,0,0,0,1,0
 MINDHUNTER (2),10/23,0,0,0,1,0
 Secrecy,10/25,0,0,0,0,0
 “M. Butterfly”,10/26,0,0,0,0,1
 David Henry Hwang,10/26,0,0,0,0,0
 TRACEY ULLMAN’S SHOW (2),10/27,0,0,0,1,0
 THE,10/29,0,0,0,1,0
 Kill,11/03,0,0,0,0,0
 DATELINE,11/04,0,0,0,1,0
 JOAN DIDION: THE CENTER WILL NOT HOLD,11/04,0,0,0,1,0
 MINDHUNTER (2),11/04,0,0,0,1,0
 Classic,11/09,0,0,0,0,0
 THE VIETNAM WAR (2),11/10,0,0,0,1,0
 AIRPORT,11/11,0,0,0,1,0
 DATELINE,11/12,0,0,0,1,0
 DATELINE ON ID,11/12,0,0,0,1,0
 MIRAGE,11/12,0,0,0,1,0
 AIRPORT ’77,11/12,0,0,0,1,0
 CURB YOUR ENTHUSIASM,11/12,0,0,0,1,0
 SLAUGHTER-HOUSE,11/13,0,0,0,1,0
 MINDHUNTER (2),11/14,0,0,0,1,0
 THE,11/15,0,0,0,1,0
 “The Play That Goes Wrong,11/18,0,0,0,0,0
” Henry,11/18,0,0,0,0,0
 CURB YOUR ENTHUSIASM,11/19,0,0,0,1,0
 TRACEY ULLMAN’S,11/19,0,0,0,1,0
 BATTLE,11/21,0,0,0,1,0
 THE,11/22,0,0,0,1,0
 Subliminal:,11/23,0,0,0,0,0
 Fresh,11/24,0,0,0,0,0
 TRACEY ULLMAN’S SHOW,11/25,0,0,0,1,0
 SOAPDISH,11/25,0,0,0,1,0
 48 HRS,11/25,0,0,0,1,0
 MINDHUNTER (2),11/26,0,0,0,1,0
 A,11/29,0,0,0,1,0
 SMILF,12/02,0,0,0,1,0
 Beasts: What Animals Can Teach Us About the Origins of Good and Evil,12/02,0,0,0,0,0
 Jeffrey,12/02,0,0,0,0,0
 SMILF (2),12/03,0,0,0,1,0
 CURB YOUR ENTHUSIASM,12/03,0,0,0,1,0
 ZODIAC,12/03,0,0,0,1,0
 SMILF (2),12/04,0,0,0,1,0
 DOWNSIZING,12/04,0,0,0,1,0
 ROMAN,12/06,0,0,0,1,0
 JOHN,12/07,0,0,0,1,0
 TOKYO,12/09,0,0,0,1,0
 The,12/10,0,0,0,0,0
 THE,12/12,0,0,0,1,0
 CALL,12/13,0,0,0,1,0
 REAR,12/14,0,0,0,1,0
 WORMWOOD (6),12/15,0,0,0,1,0
 If,12/16,0,0,0,0,0
 Sleep,12/17,0,0,0,0,0
 BEATS,12/18,0,0,0,1,0
 PHANTOM,12/19,0,0,0,1,0
 STAR,12/20,0,0,0,1,0
 HAPPY,12/21,0,0,0,1,0
 GOD IS THE BIGGER ELVIS,12/22,0,0,0,1,0
 DATELINE,12/22,0,0,0,1,0
 BEYOND ZERO: 1914-1918,12/22,0,0,0,1,0
 HEAT,12/23,0,0,0,1,0
 MISSION:,12/24,0,0,0,1,0
 The,12/25,0,0,0,0,0
 Death,12/27,0,0,0,0,0
 THE,12/28,0,0,0,1,0
 The,12/29,0,0,0,0,0
 BLACK MIRROR (2),12/30,0,0,0,1,0
 DAVE CHAPPELLE: EQUANIMITY,12/31,0,0,0,1,0
 THE PARALLAX VIEW ,12/31,0,0,0,1,0
