Content,Dates,Bold,Italic,Short,AllCaps,Quoted,Year
 THE ANDROMEDA STRAIN06/05/11 CONTAGION06/06/11 THE ASPHALT JUNGLE,05/30,0,0,0,1,0,2011
/11 BOBBY FISCHER AGAINST THE WORLD,06/07,0,0,0,1,0,2011
 CONTAGION06/10/11 THE,06/07,0,0,0,1,0,2011
/11 THE,06/11,0,0,0,1,0,2011
/11 AREA 51; AN AUNCENSORED HISTORY OF AMERICA'S TOP SECRET MILITARY BASE,06/12,0,0,0,1,0,2011
 Annie Jacobsen,06/12,0,0,0,0,0,2011
 THE KILLING (1 episode)06/13/11 CEDAR RAPIDS06/14/11 CONTAGION06/15/11 MURDER ON THE ORIENT EXPRESS06/16/11 BERNIE,06/12,0,0,0,0,0,2011
/11 GREEN FOR DANGER,06/18,0,0,0,1,0,2011
 THE TRIAL,06/18,0,0,0,1,0,2011
/11 LOSEY ON LOSEY,06/19,0,0,0,1,0,2011
 Tom Milne,06/19,0,0,0,0,0,2011
 30X30: FOUR,06/19,0,0,0,1,0,2011
/11 CONTAGION,06/21,0,0,0,1,0,2011
 LOUIS C.K. “HILARIOUS”,06/21,0,0,0,1,1,2011
 CEDAR RAPIDS06/22/11 CONTAGION (2)06/25/11 THE HOT ROCK06/26/11 BUNNY LAKE IS MISSING,06/21,0,0,0,1,0,2011
 THE BOYFRIEND06/27/11 REPULSION,06/21,0,0,0,1,0,2011
/11 HOT COFFEE,06/28,0,0,0,1,0,2011
 FRENZY,06/28,0,0,0,1,0,2011
/11 MANHATTAN LOVERBOY,07/03,0,0,0,1,0,2011
 Arthur Nersesian,07/03,0,0,0,0,0,2011
 THE HUNDRETH BROTHER,07/03,0,0,0,1,0,2011
 Donald Antrim07/04/11 STAGE FRIGHT,07/03,0,0,0,0,0,2011
 CONTAGION07/06/11 SABOTEUR,07/03,0,0,0,1,0,2011
 APOCALYPSE NOW07/08/11 THE DEADLY AFFAIR07/09/11 ALL THE PRESIDENT’S MEN07/10/11 DARK OF THE SUN,07/03,0,0,0,1,0,2011
 FUNERAL IN BERLIN07/12/11 ZODIAC,07/03,0,0,0,1,0,2011
 THE BOYFRIEND07/13/11 THE KILLING07/15/11 INSIDIOUS07/17/11 THE MAN BETWEEN,07/03,0,0,0,1,0,2011
 BREAKING BAD (1 episode)07/19/11 MANHATTAN MURDER MYSTERY,07/03,0,0,0,0,0,2011
 LIMITLESS07/20/11 THE BROKEN,07/03,0,0,0,1,0,2011
/11 DOUBLE INDEMNITY,07/21,0,0,0,1,0,2011
 SNABBA CASH07/24/11 AIR GUITAR,07/21,0,0,0,1,0,2011
 Dave Hickey,07/21,0,0,0,0,0,2011
 BREAKING BAD (1 episode)07/27/11 MIRAGE07/28/11 THE CURIOUS CASE OF CURT FLOOD07/29/11 BUG (’06),07/21,0,0,0,0,0,2011
 HOMBRE,07/21,0,0,0,1,0,2011
/11 MARNIE,07/30,0,0,0,1,0,2011
 LAURA,07/30,0,0,0,1,0,2011
 SISTERS (’73),07/30,0,0,0,1,0,2011
/11 AIRPORT,07/31,0,0,0,1,0,2011
 BREAKING BAD (1 episode),07/31,0,0,0,0,0,2011
 EVE (’62),07/31,0,0,0,1,0,2011
 BLACK LOS ANGELES: AMERICAN DREAMS AND RACIAL REALITIES,07/31,0,0,0,1,0,2011
 Darnell,07/31,0,0,0,0,0,2011
/11 THE MILKY WAY,08/01,0,0,0,1,0,2011
 MARAT/SADE,08/01,0,0,0,1,0,2011
 THE MIND BENDERS,08/01,0,0,0,1,0,2011
/11 SENSELESSNESS,08/04,0,0,0,1,0,2011
 Horatio Castellanos Moya,08/04,0,0,0,0,0,2011
/11 BREAKING BAD (1 episode),08/09,0,0,0,0,0,2011
 SECONDS08/10/11 TURN OF MIND,08/09,0,0,0,1,0,2011
 Alice LaPlante,08/09,0,0,0,0,0,2011
 CAUGHT (’49),08/09,0,0,0,1,0,2011
 POSTCARDS FROM THE EDGE08/11/11 LOVE AND DEATH,08/09,0,0,0,1,0,2011
 PAPER MOON08/12/11 THE SUGARLAND EXPRESS08/13/11 FLIRTING WITH DISASTER,08/09,0,0,0,1,0,2011
/11 AIRPLANE!,08/14,0,0,0,1,0,2011
 BREAKING BAD (1 episode),08/14,0,0,0,0,0,2011
 PANIC ROOM,08/14,0,0,0,1,0,2011
/11 THE MAGNIFICENT AMBERSONS,08/16,0,0,0,1,0,2011
 TYRANT MEMORY,08/16,0,0,0,1,0,2011
 Horatio Castellanos Moya08/17/11 PALE FLOWER08/18/11 JAWS08/19/11 THE KING OF MARVIN GARDENS,08/16,0,0,0,0,0,2011
 PRESUMED INNOCENT08/20/11 THE GAME08/22/11 BREAKING BAD (1 episode),08/16,0,0,0,0,0,2011
/11 CARNAL KNOWLEDGE,08/23,0,0,0,1,0,2011
 AMERICAN GRAFFITI,08/23,0,0,0,1,0,2011
/11 THE BEGINNING OF INFINITY,08/25,0,0,0,1,0,2011
 David Deutch,08/25,0,0,0,0,0,2011
/11 THE MAN WHO KNEW TOO MUCH (’56),08/28,0,0,0,1,0,2011
 THE DROWNING POOL08/30/11 SECONDS,08/28,0,0,0,1,0,2011
 David Ely09/01/11 THE SIZE OF THOUGHTS,08/28,0,0,0,0,0,2011
 Nicholson Baker,08/28,0,0,0,0,0,2011
/11 BREAKING BAD (1 episode)09/05/11 LETTERS FROM NUREMBERG,09/04,0,0,0,0,0,2011
 Senator,09/04,0,0,0,0,0,2011
/11 ADVISE AND CONSENT,09/09,0,0,0,1,0,2011
/11 OTTO PREMINGER: THE MAN WHO WOULD BE KING,09/10,0,0,0,1,0,2011
/11 EXODUS,09/12,0,0,0,1,0,2011
 ODDS AGAINST TOMORROW09/13/11 Begin,09/12,0,0,0,0,0,2011
/11 BREAKING BAD (1 episode)10/20/11 FROM THE SULTAN TO ATATURK,10/17,0,0,0,0,0,2011
 James Mango10/25/11 THE FABER HISTORY OF FRENCH FILM,10/17,0,0,0,0,0,2011
/11 THE CONVERSATION11/04/11 THE MARRIAGE PLOT,11/03,0,0,0,1,0,2011
 Jeffrey Eugenides,11/03,0,0,0,0,0,2011
 WITNESS FOR THE PROSECUTION11/06/11 THE JOURNALS OF SPALDING GRAY,11/03,0,0,0,1,0,2011
 edited by,11/03,0,0,0,0,0,2011
/11 THE LAST RUN11/10/11 THINKING,11/07,0,0,0,1,0,2011
 FAST AND SLOW,11/07,0,0,0,1,0,2011
 Daniel Kahneman11/11/11 “Ocean’s Eleven” (Japan)11/12/11 STEVE JOBS,11/07,0,0,0,0,1,2011
 Walter Isaacson,11/07,0,0,0,0,0,2011
 AND THEN THERE WERE NONE11/13/11 CITIZEN KANE,11/07,0,0,0,1,0,2011
 MELANCHOLIA11/15/11 THREE DAYS OF THE CONDOR11/16/11 WHO’S AFREAID OF VIRGINIA WOOLF?11/17/11 MAGIC MIKE,11/07,0,0,0,1,0,2011
 BARRY LYNDON,11/07,0,0,0,1,0,2011
/11 ON THE BEACH11/20/11 THE DESCENDANTS,11/19,0,0,0,1,0,2011
 AMERICAN MADNESS,11/19,0,0,0,1,0,2011
 MAGIC MIKE11/21/11 CUL-DE-SAC,11/19,0,0,0,1,0,2011
 THE LEAGUE OF GENTLEMEN11/22/11 RYAN’S DAUGHTER,11/19,0,0,0,1,0,2011
 PARANORMAL ACTIVITY 211/23/11 THE SENSE OF AN ENDING,11/19,0,0,0,1,0,2011
 Julian Barnes,11/19,0,0,0,0,0,2011
 THE SOCIAL NETWORK,11/19,0,0,0,1,0,2011
 FATAL ATTRACTION11/25/11 MIDNIGHT,11/19,0,0,0,1,0,2011
/11 MARGIN,12/02,0,0,0,1,0,2011
