Content,Dates,Bold,Italic,Short,AllCaps,Quoted,Year
 Paul French,06/25,0,0,0,0,0,2013
/13 BOARDWALK EMPIRE (2 episodes),06/27,0,0,0,0,0,2013
/13 BOARDWALK EMPIRE (2 episodes),06/28,0,0,0,0,0,2013
/13 BOARDWALK EMPIRE (3 episodes),06/29,0,0,0,0,0,2013
/13 THE KILLING (2 episodes),06/30,0,0,0,0,0,2013
 ALL THE PRESIDENT’S MEN,06/30,0,0,0,1,0,2013
/13 THE SKIES BELONG TO US,07/01,0,0,0,1,0,2013
 Brendan I. Koerner,07/01,0,0,0,0,0,2013
 THE KILLING,07/01,0,0,0,1,0,2013
/13 THE AMERICANS (PILOT),07/02,0,0,0,1,0,2013
/13 WORLD WAR Z,07/03,0,0,0,1,0,2013
 BORGEN (3 episodes),07/03,0,0,0,0,0,2013
/13 BORGEN (5 episodes),07/05,0,0,0,0,0,2013
 PANIC ROOM,07/05,0,0,0,1,0,2013
/13 BORGEN (2 episodes),07/06,0,0,0,0,0,2013
/13 TOKYO DRIFTER,07/07,0,0,0,1,0,2013
 THE UNIVERSE (1 episode),07/07,0,0,0,0,0,2013
 KEVIN HART: LAUGH AT MY PAIN,07/07,0,0,0,1,0,2013
 CHINATOWN,07/07,0,0,0,1,0,2013
/13 BORGEN (4 episodes),07/09,0,0,0,0,0,2013
 KEVIN HART: I’M A GROWN-UP LITTLE MAN,07/09,0,0,0,1,0,2013
/13 EMPIRE OF ILLUSION,07/10,0,0,0,1,0,2013
 Chris Hedges,07/10,0,0,0,0,0,2013
 BORGEN (3 episodes),07/10,0,0,0,0,0,2013
/13 THE IMMIGRANT,07/11,0,0,0,1,0,2013
 WHITE HOUSE DOWN,07/11,0,0,0,1,0,2013
 BORGEN (3 episodes),07/11,0,0,0,0,0,2013
/13 SPRING BREAKERS,07/13,0,0,0,1,0,2013
/13 THE KILLING,07/14,0,0,0,1,0,2013
 THE AMERICANS (2 episodes),07/14,0,0,0,0,0,2013
/13 2001: A SPACE ODYSSEY,07/16,0,0,0,1,0,2013
/13 DEAR LIFE,07/17,0,0,0,1,0,2013
 Alice Munro,07/17,0,0,0,0,0,2013
 HELP!,07/17,0,0,0,1,0,2013
/13 THE HAUNTING OF BARRY BOSTWICK,07/18,0,0,0,1,0,2013
 THE HAUNTING OF NADINE VELASQUEZ,07/18,0,0,0,1,0,2013
/13 THE HAUNTING OF FAIRUZA BALK,07/20,0,0,0,1,0,2013
 EVERYDAY DRINKING,07/20,0,0,0,1,0,2013
 Kingsley Amis,07/20,0,0,0,0,0,2013
 CELEBRITY GHOST STORIES: 10 MOST TERRIFYING PLACES,07/20,0,0,0,1,0,2013
 THE AMERICANS,07/20,0,0,0,1,0,2013
 THE HAUNTING OF JAY THOMAS,07/20,0,0,0,1,0,2013
/13 BORGEN (3 episodes),07/21,0,0,0,0,0,2013
/13 BORGEN (4 episodes),07/22,0,0,0,0,0,2013
/13 BORGEN (3 episodes),07/23,0,0,0,0,0,2013
/13 THE AMERICANS (5 episodes),07/24,0,0,0,0,0,2013
/13 THE AMERICANS (3 episodes),07/26,0,0,0,0,0,2013
/13 THE AMERICANS (3 episodes),07/27,0,0,0,0,0,2013
 AMERICAN HAUNTING,07/27,0,0,0,1,0,2013
/13 ROB THE MOB,07/28,0,0,0,1,0,2013
 THE KILLING (2 episodes),07/28,0,0,0,0,0,2013
 TRANCE,07/28,0,0,0,1,0,2013
/13 PARANORMAL ACTIVITY 4,07/30,0,0,0,1,0,2013
/13 OBLIVION,07/31,0,0,0,1,0,2013
/13 A WALK AMONG THE TOMBSTONES,08/01,0,0,0,1,0,2013
/13 LUCKY JIM,08/03,0,0,0,1,0,2013
 Kingsley Amis,08/03,0,0,0,0,0,2013
 EUROPA REPORT,08/03,0,0,0,1,0,2013
/13 THE POSEIDON ADVENTURE,08/04,0,0,0,1,0,2013
 THE KILLING (2 episodes),08/04,0,0,0,0,0,2013
 THERE’S ALWAYS TOMORROW,08/04,0,0,0,1,0,2013
/13 THE WHITE QUEEN (1 episodes),08/05,0,0,0,0,0,2013
/13 THE DAY OF THE JACKAL,08/06,0,0,0,1,0,2013
/13 A WALK AMONG THE TOMBSTONES,08/09,0,0,0,1,0,2013
/13 CLEAR HISTORY,08/10,0,0,0,1,0,2013
 THE ONE I LOVE,08/10,0,0,0,1,0,2013
/13 BREAKING BAD (2 episodes),08/11,0,0,0,0,0,2013
/13 A WALK AMONG THE TOMBSTONES,08/12,0,0,0,1,0,2013
/13 KLUTE,08/13,0,0,0,1,0,2013
/13 A WALK AMONG THE TOMBSTONES,08/14,0,0,0,1,0,2013
/13 THE KING’S ENGLISH,08/17,0,0,0,1,0,2013
 Kingsley Amis,08/17,0,0,0,0,0,2013
/13 DR. STRANGELOVE: OR,08/19,0,0,0,1,0,2013
 HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB,08/19,0,0,0,1,0,2013
/13 THE OLD DEVILS,08/20,0,0,0,1,0,2013
 Kingsley Amis,08/20,0,0,0,0,0,2013
/13 BREAKING BAD,08/21,0,0,0,1,0,2013
/13 SHOCKPROOF,08/24,0,0,0,1,0,2013
 JACK IRISH (1 episode),08/24,0,0,0,0,0,2013
 BLOWUP,08/24,0,0,0,1,0,2013
/13 BREAKING BAD,08/25,0,0,0,1,0,2013
/13 THE SOCIAL NETWORK,08/26,0,0,0,1,0,2013
 METS VS PHILLIES,08/26,0,0,0,1,0,2013
/13 A WALK AMONG THE TOMBSTONES,08/28,0,0,0,1,0,2013
/13 THE BRIEF WONDROUS LIFE OF OSCAR WAO,08/29,0,0,0,1,0,2013
 Junot Diaz,08/29,0,0,0,0,0,2013
/13 LE PETITE,09/01,0,0,0,1,0,2013
 Michele Halberstadt,09/01,0,0,0,0,0,2013
 BREAKING BAD,09/01,0,0,0,1,0,2013
/13 SNAPPED,09/02,0,0,0,1,0,2013
/13 THE LAST FIVE YEARS,09/03,0,0,0,1,0,2013
/13 VISITORS,09/08,0,0,0,1,0,2013
/13 BREAKING BAD,09/09,0,0,0,1,0,2013
 BOARDWALK EMPIRE,09/09,0,0,0,1,0,2013
/13 MAYWEATHER VS. CARNERO,09/14,0,0,0,1,0,2013
/13 LOW LIFE,09/15,0,0,0,1,0,2013
 Luc Sante,09/15,0,0,0,0,0,2013
/13 BREAKING BAD,09/19,0,0,0,1,0,2013
/13 GENIUS ON THE EDGE,09/21,0,0,0,1,0,2013
 Gerald Imber,09/21,0,0,0,0,0,2013
 MD,09/21,0,0,0,1,0,2013
 BOARDWALK EMPIRE,09/21,0,0,0,1,0,2013
/13 BREAKING BAD,09/23,0,0,0,1,0,2013
/13 BOARDWALK EMPIRE,09/24,0,0,0,1,0,2013
/13 SALINGER,09/25,0,0,0,1,0,2013
 David Shields and Shane Salerno,09/25,0,0,0,0,0,2013
 A FUNNY THING HAPPENED ON THE WAY TO THE FORUM,09/25,0,0,0,1,0,2013
 THE KNACK…AND HOW TO GET IT,09/25,0,0,0,1,0,2013
/13 Begin principal photography on THE KNICK,09/26,0,0,0,0,0,2013
/13 THE MAN IN THE GRAY FLANNEL SUIT,09/28,0,0,0,1,0,2013
/13 BREAKING BAD,09/29,0,0,0,1,0,2013
 HOMELAND,09/29,0,0,0,1,0,2013
 BOARDWALK EMPIRE,09/29,0,0,0,1,0,2013
 HELLO LADIES,09/29,0,0,0,1,0,2013
/13 GRAVITY,10/01,0,0,0,1,0,2013
/13 HOUSE OF VERSACE,10/05,0,0,0,1,0,2013
/13 HOMELAND,10/06,0,0,0,1,0,2013
 BOARDWALK EMPIRE,10/06,0,0,0,1,0,2013
 HELLO LADIES,10/06,0,0,0,1,0,2013
/13 X/Y,10/07,0,0,0,1,0,2013
/13 HOMELAND,10/13,0,0,0,1,0,2013
 BOARDWALK EMPIRE,10/13,0,0,0,1,0,2013
/13 HOMELAND,10/20,0,0,0,1,0,2013
 BOARDWALK EMPIRE,10/20,0,0,0,1,0,2013
/13 CITIZEN KANE,10/24,0,0,0,1,0,2013
/13 DAVID AND GOLIATH,10/26,0,0,0,1,0,2013
 Malcolm Gladwell,10/26,0,0,0,0,0,2013
 “Betrayal”,10/26,0,0,0,0,1,2013
 Harold Pinter,10/26,0,0,0,0,0,2013
/13 HOMELAND,10/29,0,0,0,1,0,2013
 BOARDWALK EMPIRE,10/29,0,0,0,1,0,2013
/13 POLTERGEIST,11/02,0,0,0,1,0,2013
/13 HOMELAND,11/03,0,0,0,1,0,2013
 BOARDWALK EMPIRE,11/03,0,0,0,1,0,2013
/13 JFK: THE SMOKING GUN,11/04,0,0,0,1,0,2013
 JFK: INSIDE THE EVIDENCE,11/04,0,0,0,1,0,2013
/13 TOM PAPA: FREAKING OUT,11/05,0,0,0,1,0,2013
/13 AFTER HOURS,11/08,0,0,0,1,0,2013
/13 THE RETURNING (1 episode),11/09,0,0,0,0,0,2013
/13 “The Winslow Boy”,11/10,0,0,0,0,1,2013
 Terrence Rattigan,11/10,0,0,0,0,0,2013
 HOMELAND,11/10,0,0,0,1,0,2013
 BOARDWALK EMPIRE,11/10,0,0,0,1,0,2013
/13 THE FLAT,11/11,0,0,0,1,0,2013
 AMERICAN EXPERIENCE: JFK (PART ONE),11/11,0,0,0,1,0,2013
/13 AMERICAN EXPERIENCE: JFK (PART TWO),11/13,0,0,0,1,0,2013
/13 THE FOUNTAINHEAD,11/14,0,0,0,1,0,2013
 LOUIS CK: OH MY GOD,11/14,0,0,0,1,0,2013
 “Find the Bad Guy”,11/14,0,0,0,0,1,2013
 Jeffery Eugenides,11/14,0,0,0,0,0,2013
/13 BEFORE MIDNIGHT,11/15,0,0,0,1,0,2013
/13 HAWKS VS. KNICKS,11/16,0,0,0,1,0,2013
/13 HOMELAND,11/17,0,0,0,1,0,2013
/13 BLUE JASMINE,11/20,0,0,0,1,0,2013
/13 HOMELAND,11/25,0,0,0,1,0,2013
/13 BOARDWALK EMPIRE,11/26,0,0,0,1,0,2013
/13 GRAVITY,11/27,0,0,0,1,0,2013
/13 ZODIAC,11/28,0,0,0,1,0,2013
/13 ENOUGH SAID,11/29,0,0,0,1,0,2013
 BOARDWALK EMPIRE,11/29,0,0,0,1,0,2013
/13 I AM MALALA,11/30,0,0,0,1,0,2013
 Malala Yousafzai and Christina Lamb,11/30,0,0,0,0,0,2013
 “Fun Home”,11/30,0,0,0,0,1,2013
 Lisa Kron,11/30,0,0,0,0,0,2013
 Jeanne Tesori,11/30,0,0,0,0,0,2013
 THE KINGDOM (2 episodes),11/30,0,0,0,0,0,2013
/13 HOMELAND,12/01,0,0,0,1,0,2013
/13 COMPUTER CHESS,12/05,0,0,0,1,0,2013
/13 HOMELAND,12/08,0,0,0,1,0,2013
/13 GETTING ON (2 episodes),12/09,0,0,0,0,0,2013
/13 INSIDE LLEWYN DAVIS,12/11,0,0,0,1,0,2013
 GETTING ON,12/11,0,0,0,1,0,2013
/13 AMERICAN HUSTLE,12/13,0,0,0,1,0,2013
/13 TIM’S VERMEER,12/14,0,0,0,1,0,2013
/13 HOMELAND,12/16,0,0,0,1,0,2013
/13 THE GREAT TRAIN ROBBERY: A ROBBER’S TALE,12/19,0,0,0,1,0,2013
/13 THE CIRCLE,12/21,0,0,0,1,0,2013
 Dave Eggers,12/21,0,0,0,0,0,2013
/13 THE CRUCIBLE,12/22,0,0,0,1,0,2013
 Arthur Miller,12/22,0,0,0,0,0,2013
 GETTING ON,12/22,0,0,0,1,0,2013
/13 ALL IS LOST,12/23,0,0,0,1,0,2013
/13 GOSFORD PARK,12/27,0,0,0,1,0,2013
/13 DISSIDENT GARDENS,12/28,0,0,0,1,0,2013
 Jonathan Lethem,12/28,0,0,0,0,0,2013
/13 THE GREAT TRAIN ROBBERY: A COPPER’S TALE,12/29,0,0,0,1,0,2013
 GETTING ON (UK),12/29,0,0,0,1,0,2013
 GETTING ON,12/29,0,0,0,1,0,2013
/13 ONE SUMMER,12/30,0,0,0,1,0,2013
 Bill Bryson,12/30,0,0,0,0,0,2013
 OUT OF THE PAST,12/30,0,0,0,1,0,2013
 HOUSE OF CARDS (3 episodes),12/30,0,0,0,0,0,2013
/13 HOUSE OF CARDS (2 episodes)--------------------------------- VINYL ,12/31,0,0,0,0,0,2013
 Want,01/04,0,0,0,0,0,2014
 “The Library”,01/05,0,0,0,0,1,2014
 HOUSE OF CARDS (5),01/11,0,0,0,1,0,2014
 AMERICAN EXPERIENCE: THE POISONER’S,01/08,0,0,0,1,0,2014
 GIRLS,01/12,0,0,0,1,0,2014
 THE,01/13,0,0,0,1,0,2014
 30FOR30: THE PRICE OF GOLD,01/16,0,0,0,1,0,2014
 HOUSE OF CARDS (5),01/18,0,0,0,1,0,2014
 HOUSE OF CARDS (2),01/19,0,0,0,1,0,2014
 GIRLS,01/19,0,0,0,1,0,2014
 DAYS,01/21,0,0,0,1,0,2014
 HOUSE OF CARDS,01/23,0,0,0,1,0,2014
 Cat,01/26,0,0,0,0,0,2014
 THE KNICK (3),01/27,0,0,0,1,0,2014
 THE KNICK (3),01/28,0,0,0,1,0,2014
 THE KNICK (4),01/29,0,0,0,1,0,2014
 Roth,01/30,0,0,0,0,0,2014
 GIRLS,01/31,0,0,0,1,0,2014
 Mad,02/01,0,0,0,0,0,2014
 The,02/02,0,0,0,0,0,2014
 THE,02/04,0,0,0,1,0,2014
 THE,02/08,0,0,0,1,0,2014
 GIRLS,02/10,0,0,0,1,0,2014
 ICE,02/14,0,0,0,1,0,2014
 NIGHT,02/15,0,0,0,1,0,2014
 THE AFTER,02/17,0,0,0,1,0,2014
 ARLINGTON ROAD,02/17,0,0,0,1,0,2014
 TRUE DETECTIVE (3),02/18,0,0,0,1,0,2014
 BAD,02/21,0,0,0,1,0,2014
 ROBBERY,02/22,0,0,0,1,0,2014
 KID,02/26,0,0,0,1,0,2014
 THE AMERICANS,03/01,0,0,0,1,0,2014
 My,03/02,0,0,0,0,0,2014
 MADNESS IN THE WHITE CITY,03/03,0,0,0,1,0,2014
 SILICON VALLEY,03/05,0,0,0,1,0,2014
 THE AMERICANS,03/05,0,0,0,1,0,2014
 Broken Bells at Webster Hall,03/07,0,0,0,0,0,2014
 GIRLS,03/09,0,0,0,1,0,2014
 THE AMERICANS,03/12,0,0,0,1,0,2014
 TWA,03/13,0,0,0,1,0,2014
 SILICON VALLEY (2),03/14,0,0,0,1,0,2014
 NON-STOP,03/14,0,0,0,1,0,2014
 JUGGERNAUT,03/18,0,0,0,1,0,2014
 THE AMERICANS,03/19,0,0,0,1,0,2014
 DOLL &amp; EM,03/21,0,0,0,0,0,2014
 TAKE,03/22,0,0,0,1,0,2014
 GONE,03/23,0,0,0,1,0,2014
 “The Library”,03/25,0,0,0,0,1,2014
 “The Library”,03/26,0,0,0,0,1,2014
 THE AMERICANS,03/26,0,0,0,1,0,2014
 DOLL,03/26,0,0,0,1,0,2014
 “The Library”,03/27,0,0,0,0,1,2014
 “The Library”,03/29,0,0,0,0,1,2014
 GONE GIRL,03/29,0,0,0,1,0,2014
  NOKAS,03/30,0,0,0,1,0,2014
 “The Library” (2),03/30,0,0,0,0,1,2014
  AMERICAN,03/31,0,0,0,1,0,2014
 “The Library”,04/01,0,0,0,0,1,2014
 INSIDE AMY SCHUMER,04/01,0,0,0,1,0,2014
 “The Library”,04/02,0,0,0,0,1,2014
 THE AMERICANS,04/02,0,0,0,1,0,2014
 “The Library”,04/03,0,0,0,0,1,2014
  HOKE,04/04,0,0,0,1,0,2014
 “The Library” (2),04/05,0,0,0,0,1,2014
 KLUTE,04/05,0,0,0,1,0,2014
 “The Library” (2),04/06,0,0,0,0,1,2014
 VEEP,04/06,0,0,0,1,0,2014
 DOLL &amp; EM,04/06,0,0,0,0,0,2014
 “The Library”,04/08,0,0,0,0,1,2014
 INSIDE AMY SCHUMER,04/08,0,0,0,1,0,2014
 DOLL,04/08,0,0,0,1,0,2014
 THE AMERICANS,04/10,0,0,0,1,0,2014
 DOLL &amp; EM,04/10,0,0,0,0,0,2014
 MAD MEN,04/13,0,0,0,1,0,2014
 VEEP,04/14,0,0,0,1,0,2014
 Opening night of “The Library”,04/15,0,0,0,0,1,2014
 INSIDE AMY SCHUMER,04/16,0,0,0,1,0,2014
 THE UNKNOWN KNOWN,04/16,0,0,0,1,0,2014
 THE AMERICANS,04/16,0,0,0,1,0,2014
 MY MAN GODFREY,04/16,0,0,0,1,0,2014
 IT’S,04/18,0,0,0,1,0,2014
 PROXY,04/19,0,0,0,1,0,2014
 UNDER,04/20,0,0,0,1,0,2014
 INSIDE AMY SCHUMER,04/22,0,0,0,1,0,2014
 Free,04/23,0,0,0,0,0,2014
 DIE,04/25,0,0,0,1,0,2014
 VEEP,04/27,0,0,0,1,0,2014
 MAD MEN,04/27,0,0,0,1,0,2014
 Tenth,04/28,0,0,0,0,0,2014
 ROBBER,04/28,0,0,0,1,0,2014
 HIGH,04/29,0,0,0,1,0,2014
 RUNAWAY,05/01,0,0,0,1,0,2014
 PIONER,05/02,0,0,0,1,0,2014
 THE,05/03,0,0,0,1,0,2014
 WALK,05/04,0,0,0,1,0,2014
 LOUIE (2),05/05,0,0,0,1,0,2014
 Five,05/07,0,0,0,0,0,2014
 SILICON VALLEY (3),05/10,0,0,0,1,0,2014
 INSIDE AMY SCHUMER,05/10,0,0,0,1,0,2014
 MAD MEN,05/11,0,0,0,1,0,2014
 VEEP,05/11,0,0,0,1,0,2014
 LOUIE (2),05/12,0,0,0,1,0,2014
 FINDING VIVIAN MAIER,05/12,0,0,0,1,0,2014
 THE AMERICANS,05/14,0,0,0,1,0,2014
 KEY &amp; PEELE (3),05/15,0,0,0,0,0,2014
 THE,05/16,0,0,0,1,0,2014
 A,05/18,0,0,0,1,0,2014
 VEEP,05/20,0,0,0,1,0,2014
 INSIDE AMY SCHUMER,05/20,0,0,0,1,0,2014
 MAD MEN,05/20,0,0,0,1,0,2014
 SORCERER,05/21,0,0,0,1,0,2014
 THE THICK OF IT (5),05/23,0,0,0,1,0,2014
 THE THICK OF IT (7),05/24,0,0,0,1,0,2014
 Think,05/25,0,0,0,0,0,2014
 POINT,05/26,0,0,0,1,0,2014
 IN,05/31,0,0,0,1,0,2014
 No,06/01,0,0,0,0,0,2014
 VEEP,06/02,0,0,0,1,0,2014
 THE THICK OF IT,06/02,0,0,0,1,0,2014
 ARVINGERNE,06/02,0,0,0,1,0,2014
 To,06/03,0,0,0,0,0,2014
 INSIDE AMY SCHUMER,06/04,0,0,0,1,0,2014
 THE SLAP (3),06/04,0,0,0,1,0,2014
 THE SLAP (2),06/05,0,0,0,1,0,2014
 STATE AND MAIN,06/05,0,0,0,1,0,2014
 SE7EN,06/05,0,0,0,1,0,2014
 ORANGE IS THE NEW BLACK (2),06/06,0,0,0,1,0,2014
 The,06/07,0,0,0,0,0,2014
 VEEP (2),06/08,0,0,0,1,0,2014
 LOUIE (3),06/09,0,0,0,1,0,2014
 Summer,06/14,0,0,0,0,0,2014
 Killer,06/15,0,0,0,0,0,2014
 LOUIE (2),06/16,0,0,0,1,0,2014
 THE,06/20,0,0,0,1,0,2014
 THE,06/21,0,0,0,1,0,2014
 It,06/22,0,0,0,0,0,2014
 JAWS,06/23,0,0,0,1,0,2014
 ARVINGERNE (2),06/26,0,0,0,1,0,2014
 My,06/29,0,0,0,0,0,2014
 OLIVE KITTERIDGE (4),06/30,0,0,0,1,0,2014
 My,07/02,0,0,0,0,0,2014
 I,07/03,0,0,0,1,0,2014
 ARVINGERNE (3),07/04,0,0,0,1,0,2014
 ARVINGERNE,07/05,0,0,0,1,0,2014
 CODE BREAKERS,07/05,0,0,0,1,0,2014
 JAWS,07/05,0,0,0,1,0,2014
 ARVINGERNE (2),07/06,0,0,0,1,0,2014
 ARVINGERNE (2),07/07,0,0,0,1,0,2014
 ALIEN,07/11,0,0,0,1,0,2014
 My,07/12,0,0,0,0,0,2014
 KIM PHILBY: HIS MOST INTIMATE BETRAYAL,07/13,0,0,0,1,0,2014
 COME TO PAPA (Largo),07/15,0,0,0,0,0,2014
 RED OAKS,07/16,0,0,0,1,0,2014
 The,07/17,0,0,0,0,0,2014
 AMERICAN,07/18,0,0,0,1,0,2014
 THE,07/19,0,0,0,1,0,2014
 THE,07/20,0,0,0,1,0,2014
 ALTERED,07/21,0,0,0,1,0,2014
 2001:,07/22,0,0,0,0,0,2014
 HIS,07/24,0,0,0,1,0,2014
 WORLD,07/25,0,0,0,1,0,2014
 BOYHOOD,07/26,0,0,0,1,0,2014
 THE,07/27,0,0,0,1,0,2014
 PANIC,07/28,0,0,0,1,0,2014
 The,07/29,0,0,0,0,0,2014
 APOCALYPSE,07/30,0,0,0,1,0,2014
 RED,07/31,0,0,0,1,0,2014
 The,08/01,0,0,0,0,0,2014
 The,08/02,0,0,0,0,0,2014
 THE,08/09,0,0,0,1,0,2014
 Yours,08/10,0,0,0,0,0,2014
 CITIZENFOUR,08/11,0,0,0,1,0,2014
 PATHS,08/12,0,0,0,1,0,2014
 SPARTACUS,08/14,0,0,0,1,0,2014
 THE,08/16,0,0,0,1,0,2014
 I,08/17,0,0,0,1,0,2014
 KATT WILLIAMS: KATTPOCALYPSE,08/18,0,0,0,1,0,2014
 CITIZENFOUR,08/19,0,0,0,1,0,2014
 THE,08/21,0,0,0,1,0,2014
 CRIMES OF PASSION,08/23,0,0,0,1,0,2014
 THE KILLING,08/23,0,0,0,1,0,2014
 THE,08/24,0,0,0,1,0,2014
 THE,08/25,0,0,0,1,0,2014
 NASHVILLE,08/27,0,0,0,1,0,2014
 The,08/30,0,0,0,0,0,2014
 MICHAEL,09/01,0,0,0,1,0,2014
 RAIDERS,09/06,0,0,0,1,0,2014
 Proof:,09/07,0,0,0,0,0,2014
 COME TO PAPA (Largo),09/09,0,0,0,0,0,2014
 RAIDERS,09/11,0,0,0,1,0,2014
 BILL MAHER: LIVE FROM WASHINGTON,09/12,0,0,0,1,0,2014
 DC,09/12,0,0,0,1,0,2014
 BOARDWALK EMPIRE,09/21,0,0,0,1,0,2014
 The,09/20,0,0,0,0,0,2014
 Begin principal photography on MAGIC MIKE XXL,09/29,0,0,0,0,0,2014
 BOARDWALK EMPIRE,10/02,0,0,0,1,0,2014
 BOARDWALK EMPIRE,10/11,0,0,0,1,0,2014
 BEWARE,11/05,0,0,0,1,0,2014
 Midnight,11/06,0,0,0,0,0,2014
 BOARDWALK EMPIRE (2),11/07,0,0,0,1,0,2014
 THE,11/08,0,0,0,1,0,2014
 The,11/09,0,0,0,0,0,2014
 AMERICAN GREED,11/10,0,0,0,1,0,2014
 LIFEBOAT,11/10,0,0,0,1,0,2014
 MAGIC,11/14,0,0,0,1,0,2014
 GETTING ON,11/16,0,0,0,1,0,2014
 CASABLANCA,11/18,0,0,0,1,0,2014
 WHIPLASH,11/20,0,0,0,1,0,2014
 THE,11/21,0,0,0,1,0,2014
 THE,11/22,0,0,0,1,0,2014
 THE COMEBACK,11/23,0,0,0,1,0,2014
 GETTING ON,11/23,0,0,0,1,0,2014
 COHERENCE,11/24,0,0,0,1,0,2014
 HONEYMOON,11/25,0,0,0,1,0,2014
 1864,11/26,0,0,0,0,0,2014
 VICIOUS (2),11/26,0,0,0,1,0,2014
 AMERICAN GREED,11/26,0,0,0,1,0,2014
 TRANSPARENT (6),11/27,0,0,0,1,0,2014
  THE BADADOOK,11/28,0,0,0,1,0,2014
 SUNSET BOULEVARD,11/28,0,0,0,1,0,2014
  MONA LISA IS MISSING,11/30,0,0,0,1,0,2014
 GETTING ON,11/30,0,0,0,1,0,2014
  MAGIC MIKE XXL,12/01,0,0,0,1,0,2014
  NIGHTCRAWLER,12/03,0,0,0,1,0,2014
  IDA,12/04,0,0,0,1,0,2014
 PETER PAN LIVE!,12/04,0,0,0,1,0,2014
  AMERICAN SNIPER,12/06,0,0,0,1,0,2014
 ,12/07,0,0,0,0,0,2014
 ,12/08,0,0,0,0,0,2014
  A MOST VIOLENT YEAR,12/09,0,0,0,1,0,2014
  FOXCATCHER,12/10,0,0,0,1,0,2014
 ,12/13,0,0,0,0,0,2014
 ,12/14,0,0,0,0,0,2014
  MAGIC MIKE XXL,12/15,0,0,0,1,0,2014
 ,12/16,0,0,0,0,0,2014
  UNBROKEN,12/17,0,0,0,1,0,2014
  INHERENT VICE,12/18,0,0,0,1,0,2014
 ,12/20,0,0,0,0,0,2014
 SELMA,12/23,0,0,0,1,0,2014
  The Making of Stanley Kubrick’s 2001: A,12/24,0,0,0,0,0,2014
 Stuff,12/25,0,0,0,0,0,2014
 TOP,12/26,0,0,0,1,0,2014
 A,12/27,0,0,0,1,0,2014
 MAGIC,12/28,0,0,0,1,0,2014
 THE,12/30,0,0,0,1,0,2014
 The,12/31,0,0,0,0,0,2014
  MAGIC MIKE XXL,01/01,0,0,0,1,0,2015
  Signature Kill,01/02,0,0,0,0,0,2015
 David Levien,01/02,0,0,0,0,0,2015
 LEVIATHAN (’14),01/02,0,0,0,1,0,2015
 ,01/03,0,0,0,0,0,2015
 INTERSTELLAR,01/05,0,0,0,1,0,2015
 THE,01/06,0,0,0,1,0,2015
 THE,01/07,0,0,0,1,0,2015
 UTOPIA,01/10,0,0,0,1,0,2015
 STARDUST MEMORIES,01/10,0,0,0,1,0,2015
 FORCE,01/11,0,0,0,1,0,2015
 LAWRENCE,01/13,0,0,0,1,0,2015
 DA,01/14,0,0,0,1,0,2015
 KINGPIN,01/16,0,0,0,1,0,2015
 Group,01/17,0,0,0,0,0,2015
 THE,01/18,0,0,0,1,0,2015
 GIRLS,01/19,0,0,0,1,0,2015
 AMERICAN GREED (2),01/19,0,0,0,1,0,2015
 VANITY FAIR,01/19,0,0,0,1,0,2015
 MAGIC,01/20,0,0,0,1,0,2015
 UTOPIA,01/21,0,0,0,1,0,2015
 1941,01/21,0,0,0,0,0,2015
 UTOPIA (2),01/22,0,0,0,1,0,2015
 FROM,01/23,0,0,0,1,0,2015
 THE,01/24,0,0,0,1,0,2015
 GIRLS,01/25,0,0,0,1,0,2015
 VANITY FAIR CONFIDENTIAL,01/26,0,0,0,1,0,2015
 DISAPPEARED,01/27,0,0,0,1,0,2015
 ART AND CRAFT,01/27,0,0,0,1,0,2015
 THE AMERICANS,01/28,0,0,0,1,0,2015
 LOUIS C.K. LIVE AT THE COMEDY STORE,01/29,0,0,0,1,0,2015
 CHEF,01/30,0,0,0,1,0,2015
 48 HRS MYSTERY,01/31,0,0,0,1,0,2015
 DUEL,01/31,0,0,0,1,0,2015
 Begin principal photography on THE,02/02,0,0,0,0,0,2015
 DATELINE ON ID,02/03,0,0,0,1,0,2015
 ON THE CASE WITH PAULA,02/03,0,0,0,1,0,2015
 THE AMERICANS,02/04,0,0,0,1,0,2015
 THE JINX (2),02/05,0,0,0,1,0,2015
 DATELINE,02/06,0,0,0,1,0,2015
 L’PETIT,02/07,0,0,0,1,0,2015
 DATELINE: SUNDAY EDITION,02/08,0,0,0,1,0,2015
 GIRLS,02/08,0,0,0,1,0,2015
 BETTER,02/08,0,0,0,1,0,2015
 VANITY FAIR CONFIDENTIAL,02/09,0,0,0,1,0,2015
 BETTER CALL,02/09,0,0,0,1,0,2015
 THE AMERICANS,02/11,0,0,0,1,0,2015
 MODESTY,02/13,0,0,0,1,0,2015
 THE,02/14,0,0,0,1,0,2015
 WITNESSED: THE ASSASSINATION OF MALCOLM,02/17,0,0,0,1,0,2015
 THE AMERICANS,02/18,0,0,0,1,0,2015
 48 HRS MYSTERY,02/21,0,0,0,1,0,2015
 DATELINE: SATURDAY,02/21,0,0,0,1,0,2015
 MAGIC,02/22,0,0,0,1,0,2015
 THE JINX,02/23,0,0,0,1,0,2015
 BETTER CALL SAUL,02/23,0,0,0,1,0,2015
 GIRLS,02/24,0,0,0,1,0,2015
 VANITY FAIR CONFIDENTIAL,02/24,0,0,0,1,0,2015
